time,region,number,spatial_ref,T,LOAD,population,height,T.historical.ukesm1_0_ll,T.historical.mpi_esm1_2_lr,T.historical.hadgem3_gc31_ll,T.historical.ipsl_cm6a_lr,T.ssp126.hadgem3_gc31_ll,T.ssp126.mpi_esm1_2_lr,T.ssp126.ipsl_cm6a_lr,T.ssp126.ukesm1_0_ll,T.ssp585.ipsl_cm6a_lr,T.ssp585.ukesm1_0_ll,T.ssp585.hadgem3_gc31_ll,T.ssp585.mpi_esm1_2_lr
2002-11-30,ALL_US,0,0,278.2654,3739135.2379233553,284193107.45846456,1.5,274.7161126441148,276.3818252566866,277.96750468311046,278.6895171177181,,,,,,,,
2002-12-31,ALL_US,0,0,274.45337,3745601.0,284423759.0,1.5,270.32606433166984,268.9886893542419,273.7695117490082,272.8077329471231,,,,,,,,
2003-01-31,ALL_US,0,0,273.03998,3749708.7724333075,284654263.7448919,1.5,271.8736190646063,269.683780021634,267.99054090305185,268.41377446646663,,,,,,,,
2003-02-28,ALL_US,0,0,273.1842,3751392.2761031445,284862335.404141,1.5,272.0872621378095,274.83043993373565,273.48790114549064,273.1625005200733,,,,,,,,
2003-03-31,ALL_US,0,0,278.9558,3751012.261795906,285092560.7618724,1.5,274.19006845353437,277.6142750214188,277.2164194215273,276.8853514887175,,,,,,,,
2003-04-30,ALL_US,0,0,284.08957,3748399.3858027887,285315219.7252036,1.5,281.1833366066277,279.9699319843489,283.2685697096603,281.0269202856576,,,,,,,,
2003-05-31,ALL_US,0,0,289.12073,3743379.4563909187,285545156.2250233,1.5,288.3551814742705,287.468434083874,289.42992445883215,286.96025914572095,,,,,,,,
2003-06-30,ALL_US,0,0,293.25238,3736276.3399739633,285767535.64843994,1.5,293.39169913901367,292.01480237096433,294.83942403164696,291.2686589586031,,,,,,,,
2003-07-31,ALL_US,0,0,297.55487,3728374.0328880018,285997222.33040744,1.5,297.8723447814579,296.1503254813098,297.05389316900147,295.46768847098053,,,,,,,,
2003-08-31,ALL_US,0,0,296.9169,3721990.8203095603,286226848.337138,1.5,296.5252890574644,296.1402221614581,297.9372492670608,296.5395369592001,,,,,,,,
2003-09-30,ALL_US,0,0,291.54184,3717264.224661143,286449009.3785268,1.5,293.7879038872779,292.26751905223796,293.59574250396537,292.3570961731771,,,,,,,,
2003-10-31,ALL_US,0,0,286.74936,3713879.1395661887,286678516.1906665,1.5,285.1257832397966,286.0485844936529,287.6111956237036,285.6263322409189,,,,,,,,
2003-11-30,ALL_US,0,0,278.46838,3712053.957611467,286900561.8824512,1.5,279.31753867938096,277.7391892301901,280.21283733488997,279.59038844867325,,,,,,,,
2003-12-31,ALL_US,0,0,274.629,3711667.0000000005,287129949.5,1.5,273.33583132584664,271.02167453537777,274.2473731139021,272.97785597897115,,,,,,,,
2004-01-31,ALL_US,0,0,271.5234,3712803.680945713,287359276.5432485,1.5,271.5090473172111,272.5209745654628,267.7826943660559,272.15685816188653,,,,,,,,
